feature,importance
worst perimeter,0.15429574987802736
worst area,0.14437188126941025
mean concave points,0.10872336014138756
worst concave points,0.09952569307430754
worst radius,0.07655159638431261
mean concavity,0.05802481464094638
mean radius,0.05308840279247404
mean perimeter,0.04199849185728069
worst concavity,0.03825694398622237
mean area,0.0345552819381161
area error,0.03389399181154315
mean compactness,0.016703194440798055
worst texture,0.01629545697541224
radius error,0.015778823337211915
worst compactness,0.015758274648201207
mean texture,0.014475604557683142
worst smoothness,0.012249509533038567
worst symmetry,0.011002824501239726
perimeter error,0.010443485695419424
worst fractal dimension,0.0060815894156646
concavity error,0.005375412787610055
mean smoothness,0.005176608206642379
concave points error,0.004020513896275169
texture error,0.003949415379613269
compactness error,0.0037632648789038027
mean symmetry,0.003607755625953056
fractal dimension error,0.003449505914947634
smoothness error,0.003412478551573892
mean fractal dimension,0.0027071056049446564
symmetry error,0.002462968274839123
