eps,min_samples,cluster_count,noise_count,noise_percentage,silhouette_score_excluding_noise
1.5,4,2,169,94.9438202247191,0.4067015040618876
1.5,5,0,178,100.0,
1.5,6,0,178,100.0,
1.5,8,0,178,100.0,
1.5,10,0,178,100.0,
1.8,4,9,103,57.865168539325836,0.2248956996062124
1.8,5,7,118,66.29213483146067,0.24618705644269973
1.8,6,6,138,77.52808988764045,0.3058981207941177
1.8,8,1,170,95.50561797752809,
1.8,10,0,178,100.0,
2.0,4,6,66,37.07865168539326,0.22089188685223404
2.0,5,5,85,47.752808988764045,0.24046128028458877
2.0,6,3,100,56.17977528089888,0.28172028618140327
2.0,8,3,117,65.73033707865169,0.43596446282711354
2.0,10,1,139,78.08988764044943,
2.2,4,2,48,26.96629213483146,0.34009312403712105
2.2,5,2,55,30.89887640449438,0.34801201341316823
2.2,6,2,58,32.58426966292135,0.35021500688577645
2.2,8,2,67,37.640449438202246,0.35046448902439253
2.2,10,2,89,50.0,0.3939705565688761
2.3,4,2,36,20.224719101123593,0.3254005513542772
2.3,5,2,42,23.595505617977526,0.3307344745314195
2.3,6,2,46,25.842696629213485,0.3356800368747699
2.3,8,2,52,29.213483146067414,0.34216648319714305
2.3,10,2,64,35.95505617977528,0.36411295156115975
2.5,4,1,23,12.921348314606742,
2.5,5,1,24,13.48314606741573,
2.5,6,1,26,14.606741573033707,
2.5,8,2,30,16.853932584269664,0.31829736878188286
2.5,10,2,32,17.97752808988764,0.32284304295583666
2.8,4,1,15,8.426966292134832,
2.8,5,1,15,8.426966292134832,
2.8,6,1,19,10.674157303370785,
2.8,8,1,19,10.674157303370785,
2.8,10,1,19,10.674157303370785,
3.0,4,1,11,6.179775280898876,
3.0,5,1,11,6.179775280898876,
3.0,6,1,11,6.179775280898876,
3.0,8,1,11,6.179775280898876,
3.0,10,1,12,6.741573033707865,
