alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,actual_is_anomaly,observation_source
12.37,1.21,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678.0,0,held_out_normal
17.61896721302414,7.972533420730517,1.0688013940473304,16.0,98.0,6.040972990188971,3.15,0.22,4.69639763589938,7.22,-0.5739534574435123,3.55,1045.0,1,synthetic_anomaly
12.42,1.61,2.19,22.5,108.0,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345.0,0,held_out_normal
13.5,1.81,0.9925334318903076,34.23917257421777,166.58229916543235,2.53,2.61,-0.4893376257629555,-1.0714423865088192,3.52,1.12,7.3204321782718935,845.0,1,synthetic_anomaly
12.77,2.39,2.28,19.5,86.0,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470.0,0,held_out_normal
13.63,7.598721650621463,0.9519927097689831,17.2,201.35411615077686,2.85,-2.4635578250188126,0.3,1.46,7.3,1.28,-0.3801192256168062,-1173.615298093253,1,synthetic_anomaly
13.41,3.84,2.12,18.8,90.0,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035.0,0,held_out_normal
12.08,1.39,2.5,22.5,84.0,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385.0,0,held_out_normal
12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510.0,0,held_out_normal
13.78,2.76,2.3,22.0,90.0,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615.0,0,held_out_normal
11.61,1.35,2.7,20.0,94.0,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680.0,0,held_out_normal
13.73,1.5,2.7,22.5,101.0,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285.0,0,held_out_normal
12.0,3.43,2.0,19.0,87.0,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564.0,0,held_out_normal
14.19,1.59,2.48,16.5,41.724755317560536,6.098417578502449,8.121448443860823,0.32,4.926751652527015,-7.430940722925286,2.0293816939341305,2.82,1680.0,1,synthetic_anomaly
13.58,1.66,2.36,19.1,106.0,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515.0,0,held_out_normal
12.77,3.43,1.98,16.0,80.0,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372.0,0,held_out_normal
12.08,1.13,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630.0,0,held_out_normal
13.88,1.89,0.8453371440950452,15.0,20.732860806987034,-1.1882611645787224,8.354304097093687,0.17,1.7,17.6477022699948,-0.3768301157179008,3.56,1095.0,1,synthetic_anomaly
12.52,2.43,2.17,21.0,88.0,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325.0,0,held_out_normal
13.36,2.56,2.35,20.0,89.0,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780.0,0,held_out_normal
11.41,0.74,2.5,21.0,88.0,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434.0,0,held_out_normal
13.56,1.73,2.46,20.5,116.0,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120.0,0,held_out_normal
13.16,3.57,2.15,21.0,102.0,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830.0,0,held_out_normal
13.4,4.6,3.7085206097817274,42.499050071281474,112.0,1.98,-2.32633046769053,0.27,1.11,18.94330107710943,0.67,6.667232517995835,2634.6049056880947,1,synthetic_anomaly
13.64,3.1,2.56,15.2,116.0,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845.0,0,held_out_normal
