user_id,top_k,held_out_item_id,held_out_rank,hit,precision_at_k,recall_at_k,reciprocal_rank
101,3,5,23,0,0.0,0.0,0.043478260869565216
101,5,5,23,0,0.0,0.0,0.043478260869565216
101,10,5,23,0,0.0,0.0,0.043478260869565216
102,3,6,6,0,0.0,0.0,0.16666666666666666
102,5,6,6,0,0.0,0.0,0.16666666666666666
102,10,6,6,1,0.1,1.0,0.16666666666666666
103,3,27,2,1,0.3333333333333333,1.0,0.5
103,5,27,2,1,0.2,1.0,0.5
103,10,27,2,1,0.1,1.0,0.5
104,3,22,3,1,0.3333333333333333,1.0,0.3333333333333333
104,5,22,3,1,0.2,1.0,0.3333333333333333
104,10,22,3,1,0.1,1.0,0.3333333333333333
105,3,17,5,0,0.0,0.0,0.2
105,5,17,5,1,0.2,1.0,0.2
105,10,17,5,1,0.1,1.0,0.2
106,3,5,13,0,0.0,0.0,0.07692307692307693
106,5,5,13,0,0.0,0.0,0.07692307692307693
106,10,5,13,0,0.0,0.0,0.07692307692307693
107,3,17,1,1,0.3333333333333333,1.0,1.0
107,5,17,1,1,0.2,1.0,1.0
107,10,17,1,1,0.1,1.0,1.0
108,3,22,5,0,0.0,0.0,0.2
108,5,22,5,1,0.2,1.0,0.2
108,10,22,5,1,0.1,1.0,0.2
109,3,27,4,0,0.0,0.0,0.25
109,5,27,4,1,0.2,1.0,0.25
109,10,27,4,1,0.1,1.0,0.25
110,3,28,11,0,0.0,0.0,0.09090909090909091
110,5,28,11,0,0.0,0.0,0.09090909090909091
110,10,28,11,0,0.0,0.0,0.09090909090909091
111,3,24,3,1,0.3333333333333333,1.0,0.3333333333333333
111,5,24,3,1,0.2,1.0,0.3333333333333333
111,10,24,3,1,0.1,1.0,0.3333333333333333
112,3,21,6,0,0.0,0.0,0.16666666666666666
112,5,21,6,0,0.0,0.0,0.16666666666666666
112,10,21,6,1,0.1,1.0,0.16666666666666666
