antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
rice,chicken|milk,0.285,0.135,0.1175,0.41228070175438597,3.0539311241065628,1.0,0.07902499999999998,1.4717910447761193,0.9406338342508553,0.3884297520661157,0.32055572457154446,0.6413255360623781
chicken|milk,rice,0.135,0.285,0.1175,0.8703703703703702,3.0539311241065623,1.0,0.07902499999999998,5.515714285714281,0.777518140450129,0.3884297520661157,0.8186998186998186,0.6413255360623781
bananas|bread,yogurt,0.14,0.27,0.115,0.8214285714285714,3.042328042328042,1.0,0.07719999999999999,4.087999999999999,0.7805864509605661,0.38983050847457623,0.7553816046966731,0.6236772486772486
yogurt,bananas|bread,0.27,0.14,0.115,0.42592592592592593,3.042328042328042,1.0,0.07719999999999999,1.4980645161290322,0.9195949970220368,0.38983050847457623,0.3324720068906115,0.6236772486772486
coffee|yogurt,bananas,0.0975,0.27,0.08,0.8205128205128205,3.0389363722697054,1.0,0.053675,4.067142857142857,0.743421052631579,0.27826086956521734,0.7541271513874254,0.5584045584045584
bananas|milk,yogurt,0.13,0.27,0.105,0.8076923076923076,2.991452991452991,1.0,0.06989999999999999,3.795999999999998,0.7651888341543512,0.35593220338983045,0.7365648050579556,0.5982905982905982
yogurt,bananas|milk,0.27,0.13,0.105,0.38888888888888884,2.991452991452991,1.0,0.06989999999999999,1.4236363636363636,0.9119373776908023,0.35593220338983045,0.2975734355044699,0.5982905982905982
bananas,bread|yogurt,0.27,0.1475,0.115,0.42592592592592593,2.8876333961079728,1.0,0.075175,1.485,0.8954734961286481,0.38016528925619836,0.3265993265993266,0.6027934714375393
bread|yogurt,bananas,0.1475,0.27,0.115,0.7796610169491526,2.8876333961079723,1.0,0.075175,3.3130769230769235,0.7667984189723319,0.38016528925619836,0.6981657766426748,0.6027934714375393
bananas,yogurt,0.27,0.27,0.2075,0.7685185185185184,2.84636488340192,1.0,0.1346,3.153599999999998,0.8885954778016174,0.6240601503759398,0.682902080162354,0.7685185185185184
